,Area,Production,Rainfall,Season,Temperature,Crop
9824,521.0,538.0,200.02575,Summer,30.86325,Maize
53709,6000.0,7000.0,233.26933333333332,Kharif,21.103,Maize
53184,31.19,7.7,31.1705,Rabi,20.11075,Moong(Green Gram)
54378,400.0,4920.0,29.6565,Rabi,15.44875,Potato
87278,112.0,93.0,239.4716666666667,Kharif,26.48933333333333,Moong(Green Gram)
45906,100.0,100.0,5.300749999999999,Rabi,19.3875,Gram
71027,6000.0,48000.0,70.00049999999999,Rabi,23.83075,Maize
95476,21303.0,1066684.0,198.39033333333333,Kharif,27.98166666666667,Sugarcane
81962,9.0,22.0,39.79975,Rabi,20.877,Maize
27934,5.0,2.0,325.9533333333333,Kharif,27.04033333333333,Maize
66079,9611.0,638000.0,64.2978375234961,Whole Year,26.78874280860365,Sugarcane
70777,11579.0,15204.0,107.116,Kharif,28.66166666666667,Arhar/Tur
48495,79203.0,208895.0,9.2865,Rabi,19.9365,Wheat
72035,12559.0,9760.0,110.367,Kharif,19.68533333333333,Maize
4434,12.0,13.0,158.59633333333332,Kharif,27.65833333333333,Dry chillies
33460,1448.0,560.0,150.9236666666667,Kharif,28.42466666666667,Sesamum
77143,1128.0,250.0,204.3226666666667,Kharif,27.535,Sesamum
70500,1100.0,400.0,52.0795,Rabi,24.28875,Gram
38166,23200.0,1875300.0,163.9284419140135,Whole Year,28.26042358098192,Sugarcane
57571,506.0,7212.0,12.715,Winter,22.81375,Potato
8292,63.0,20.0,130.1496666666667,Kharif,23.43733333333333,Arhar/Tur
101233,3091.0,716.0,187.72866666666667,Kharif,27.35133333333333,Moong(Green Gram)
31579,33.0,9.0,150.2976666666667,Kharif,27.92,Moong(Green Gram)
82437,6943.0,7536.0,186.93833333333333,Kharif,27.94066666666667,Arhar/Tur
99628,2100.0,1900.0,42.02533333333334,Kharif,29.10566666666667,Arhar/Tur
50976,2702.0,3199.0,204.0053333333333,Kharif,25.88166666666666,Jowar
102955,1250.0,10000.0,129.0914560185186,Whole Year,28.4137181712963,Onion
13201,61.0,710.0,58.03274999999999,Rabi,24.67125,Onion
57093,10.0,6.0,164.455,Summer,30.377,Moong(Green Gram)
80688,18250.0,81434.0,414.45966666666664,Kharif,24.62133333333334,Maize
32389,61.0,26.0,56.10633333333334,Kharif,28.45766666666666,Moong(Green Gram)
92816,49.0,172.0,381.23475,Summer,25.005,Maize
88554,4585.0,5326.0,7.37275,Rabi,19.230999999999998,Rapeseed &Mustard
5892,506.0,118.0,19.079,Rabi,22.48575,Urad
3249,193.0,48.0,176.8113333333334,Kharif,24.888333333333332,Moong(Green Gram)
64662,4747.0,12713.0,93.05333333333333,Kharif,26.90733333333333,Maize
62854,220.0,605.0,165.38121409625768,Whole Year,20.225208650816626,Dry chillies
41001,20167.0,7240.0,329.9835,Summer,29.24675,Moong(Green Gram)
60566,14036.0,7706.0,112.9306666666667,Kharif,26.13266666666667,Arhar/Tur
81691,3866.0,2531.0,179.05766666666668,Kharif,28.30933333333333,Arhar/Tur
64581,2138.0,13581.0,107.4311663677511,Whole Year,27.87677526093112,Onion
70356,5200.0,8500.0,184.16775,Summer,26.30275,Groundnut
58410,189.0,2011.0,171.4235,Summer,25.58025,Onion
12635,3464.0,2186.0,130.53,Kharif,28.75233333333334,Arhar/Tur
29919,52615.0,131384.0,15.24175,Rabi,21.13225,Wheat
61259,187000.0,465000.0,110.8166666666667,Kharif,27.75633333333333,Rice
61379,42000.0,59000.0,5.8085,Winter,21.4125,Rice
106259,17403.0,10897.0,33.42125,Rabi,23.16800000000001,Gram
59394,14.0,7.0,117.335,Kharif,27.31833333333333,Moong(Green Gram)
70166,50.0,24.0,202.2276666666667,Kharif,28.893,Moong(Green Gram)
25568,382.0,206.0,169.623,Kharif,28.066,Jowar
68092,22063.0,26467.0,30.81825,Rabi,21.0535,Wheat
11080,13160.0,5663.0,106.8116666666667,Kharif,25.345,Arhar/Tur
44816,969.0,173.0,92.23,Rabi,25.13225,Sesamum
62708,55.0,71.0,14.2715,Rabi,21.79175,Arhar/Tur
69886,31.0,23.0,164.9933333333333,Kharif,27.291,Jowar
61592,2100.0,8075.0,63.59050000000001,Rabi,25.32625,Dry chillies
105027,24700.0,20000.0,62.38800000000001,Kharif,29.44966666666667,Groundnut
72283,43.0,9.0,152.66833333333332,Kharif,26.06133333333333,Sesamum
45925,78.0,75.8,7.667750000000002,Rabi,21.78475,Gram
37974,1014.0,29115.0,86.16869130979939,Whole Year,29.89398365162037,Sugarcane
32986,13578.0,4917.0,118.3186666666667,Kharif,27.61933333333333,Groundnut
34572,645.0,223.0,83.262,Kharif,26.95866666666667,Sesamum
64290,19012.0,55954.0,57.25600000000001,Autumn,24.36325,Rice
75365,15716.0,23123.0,1.98475,Rabi,20.7765,Wheat
69027,4800.0,20805.0,106.8806666666667,Kharif,28.78033333333333,Maize
66793,824.0,680.0,129.66375,Summer,31.2545,Moong(Green Gram)
90775,308737.0,855316.0,5.84675,Winter,21.1245,Rice
46861,1.0,3.0,14.03375,Rabi,19.4375,Maize
22067,15.0,15.0,25.7505,Rabi,15.17925,Wheat
40972,4513.0,36267.0,127.8652531329706,Whole Year,27.589753178516695,Potato
73446,6696.0,15507.0,53.19066666666666,Kharif,27.12166666666667,Rice
5489,22.0,10.0,242.30825,Summer,30.38,Urad
55042,107.0,42.3,35.589,Winter,24.24,Rapeseed &Mustard
49909,231.0,223.0,20.35475,Rabi,20.71225,Rapeseed &Mustard
24696,39.0,20.0,80.375,Rabi,20.55925,Gram
23600,40028.0,35585.0,165.68900000000005,Kharif,28.15166666666667,Maize
12054,6.0,5.0,227.38675,Summer,28.8295,Urad
